rope_double_hand,twine,True
double_stretch_zebra,toy,True
double_stretch_sloth,sloth,True
single_lift_rope,twine,True
single_lift_dinosor,dinosor,True
weird_package,package,False
single_lift_cloth,cloth,False
double_lift_zebra,toy,True
double_lift_sloth,sloth,True
single_lift_sloth,sloth,True
single_lift_zebra,toy,True
single_push_rope,twine,True
single_push_sloth,sloth,True
single_lift_cloth_1,cloth,False
single_lift_cloth_3,cloth,False
single_lift_cloth_4,cloth,False
single_push_rope_1,twine,True
single_push_rope_4,twine,True
double_lift_cloth_3,cloth,False
single_clift_cloth_1,cloth,False
single_clift_cloth_3,cloth,False
double_lift_cloth_1,cloth,False

double_stretch_sloth_da3, sloth, True

cloth_double_bend, gray-mat-pad, True
double_bend_monkey,red-monkey,True
single_lift_pad, gray-mat-pad, True
water_bottle_single,plastic-water-bottle,True
bottle_lift_single, water-bottle, True
tshirt_lift_single, dark-cloth, True
bottle_lift_single, water-bottle, True


single_lift_rope_new,twine,True
double_lift_cloth_1_new,cloth,False
double_lift_zebra_new,toy,True
double_stretch_sloth_new,sloth,True
single_lift_rope_new,twine,True
double_bend_monkey_new,red-monkey,True

double_lift_cloth_1_new,cloth,False
single_lift_cloth_3_new,cloth,False
double_bend_monkey_new,red-monkey,True

double_stretch_sloth_smooth, sloth, True
single_lift_rope_smooth,twine,True
single_lift_cloth_3_smooth,cloth,False

double_bend_monkey_0_da3,monkey,True
double_bend_grey_pad_0_da3,grey-pad-mat,True
single_fold_tshirt_da3,black-cloth,False

double_bend_grey_pad_0_da3,grey-pad-mat,True
single_lift_water_bottle_1_da3,water-bottle,True
